epoch,train_loss,val_loss,psnr,ssim,lpips
45,0.0969,0.089936,20.3823,0.7945,0.1403
46,0.095108,0.089192,20.4167,0.7929,0.1427
47,0.092976,0.087607,20.4164,0.7953,0.1394
48,0.09249,0.089724,20.4102,0.7954,0.14
49,0.0928,0.088226,20.441,0.7971,0.1378
50,0.093117,0.086617,20.4471,0.7966,0.1374
51,0.091359,0.088123,20.441,0.7963,0.1393
52,0.092855,0.085364,20.4623,0.796,0.1384
53,0.09198,0.087975,20.4842,0.796,0.1374
54,0.090932,0.086746,20.5334,0.7981,0.1339
55,0.090771,0.085381,20.5258,0.7995,0.1338
56,0.088176,0.084472,20.5307,0.7975,0.1349
57,0.089506,0.084627,20.5467,0.7978,0.134
58,0.089606,0.086769,20.5252,0.7986,0.1327
59,0.086448,0.08635,20.5686,0.7984,0.134
60,0.087653,0.084985,20.5415,0.798,0.134
61,0.088281,0.0853,20.6013,0.8001,0.131
62,0.085534,0.084354,20.6154,0.8011,0.1331
63,0.087441,0.083926,20.5864,0.7989,0.1325
64,0.087001,0.084573,20.6185,0.7994,0.1327
65,0.086557,0.086579,20.6397,0.8022,0.1291
66,0.085797,0.084227,20.6566,0.8022,0.1318
67,0.085653,0.083968,20.6575,0.7999,0.1316
68,0.08544,0.083794,20.6687,0.8014,0.1293
69,0.084904,0.083806,20.6306,0.8007,0.1291
70,0.084772,0.086467,20.6552,0.8025,0.1291
71,0.084793,0.084919,20.7041,0.8009,0.131
72,0.082065,0.086459,20.673,0.8011,0.1289
73,0.083402,0.084129,20.7026,0.8027,0.1285
74,0.082642,0.083921,20.718,0.8011,0.1303
75,0.082231,0.085597,20.7291,0.8037,0.1282
76,0.080537,0.085397,20.7136,0.8027,0.1298
77,0.082205,0.08408,20.7215,0.8032,0.1281
78,0.080659,0.083444,20.7372,0.8053,0.129
79,0.082214,0.085181,20.7392,0.8041,0.1265
80,0.080106,0.084483,20.765,0.8047,0.1281
81,0.080319,0.083666,20.7676,0.8058,0.1292
82,0.079255,0.083151,20.7792,0.8051,0.1275
83,0.080961,0.085488,20.7976,0.8038,0.1269
84,0.078345,0.083592,20.7947,0.8063,0.1264
85,0.079287,0.084891,20.7868,0.806,0.1279
86,0.078554,0.084886,20.7843,0.8064,0.1288
87,0.077925,0.083942,20.8033,0.8073,0.1279
88,0.077546,0.083183,20.8524,0.8057,0.1289
89,0.079193,0.085703,20.8459,0.8077,0.1291
90,0.078828,0.084584,20.8491,0.8075,0.1279
91,0.079487,0.084507,20.8558,0.8057,0.1267
92,0.078519,0.08441,20.867,0.8072,0.1268
93,0.076654,0.082493,20.8603,0.8064,0.1277
94,0.076657,0.082097,20.8938,0.808,0.1259
95,0.07729,0.083008,20.8851,0.8064,0.1271
96,0.078611,0.082938,20.9098,0.809,0.1283
97,0.076871,0.08063,20.8969,0.8088,0.1286
98,0.078429,0.081883,20.9282,0.8083,0.1276
99,0.076072,0.080924,20.9169,0.8067,0.1265
100,0.077295,0.081346,20.9079,0.8085,0.1257
101,0.076974,0.079739,20.9286,0.809,0.1252
102,0.07689,0.079881,20.9395,0.8074,0.1264
103,0.075455,0.080319,20.9641,0.8088,0.1276
104,0.077178,0.079802,20.9297,0.8077,0.1267
105,0.077547,0.079907,20.9699,0.8107,0.127
106,0.076679,0.081823,20.9487,0.8082,0.125
107,0.074667,0.080577,20.9762,0.8091,0.1269
108,0.076465,0.078541,20.9842,0.8112,0.1246
109,0.076501,0.081187,20.9593,0.8088,0.1251
110,0.075957,0.08095,20.9814,0.8115,0.1241
111,0.075882,0.079556,20.9683,0.8119,0.1267
112,0.075499,0.078,21.0255,0.8121,0.1247
113,0.074874,0.078263,21.0008,0.8107,0.1263
114,0.07595,0.078,21.0317,0.812,0.1261
115,0.075501,0.078184,21.0215,0.8133,0.1238
116,0.075703,0.07842,21.0096,0.8116,0.1253
117,0.073986,0.079431,21.0332,0.8105,0.1256
118,0.073817,0.078,21.0225,0.8117,0.1223
119,0.075545,0.078,21.0008,0.8134,0.1232
120,0.075542,0.078639,21.0066,0.8107,0.1252
121,0.07307,0.078659,21.021,0.8135,0.1241
122,0.074665,0.078,21.0406,0.8113,0.1222
123,0.074718,0.078,21.029,0.8128,0.1231
124,0.073838,0.078713,21.0148,0.8137,0.1219
125,0.073236,0.078,21.007,0.8117,0.1227
126,0.074691,0.078,21.0088,0.8131,0.1231
127,0.075259,0.078029,21.0128,0.8118,0.121
128,0.072938,0.078,20.9965,0.8135,0.1211
129,0.075107,0.078284,21.0371,0.8121,0.1231
130,0.073587,0.07953,21.0291,0.8134,0.1213
131,0.072599,0.078,21.0503,0.8135,0.1225
132,0.073182,0.078,21.0306,0.812,0.1199
133,0.073604,0.078,21.0513,0.8123,0.122
134,0.073672,0.079729,21.0039,0.8138,0.1207
135,0.07312,0.080123,21.0482,0.8131,0.1212
136,0.073561,0.079841,21.0441,0.8127,0.1196
137,0.073656,0.078,20.9959,0.8123,0.119
138,0.072969,0.079625,21.0011,0.8129,0.1212
139,0.073672,0.079279,21.0229,0.815,0.1214
140,0.073385,0.080182,21.0357,0.8135,0.1204
141,0.0734,0.081228,21.0272,0.8123,0.119
142,0.072329,0.080805,21.0097,0.813,0.119
143,0.073423,0.080775,21.03,0.8137,0.1201
144,0.07155,0.07854,20.9972,0.8131,0.1192
145,0.071536,0.081992,21.0193,0.8139,0.1217
146,0.074215,0.081073,20.9832,0.812,0.121
147,0.072583,0.081112,21.0199,0.8124,0.1204
148,0.073032,0.08064,20.9684,0.813,0.1195
149,0.073096,0.082048,20.9807,0.8141,0.1194
150,0.07388,0.081966,20.9921,0.8132,0.1195
151,0.071974,0.082593,20.9815,0.8133,0.122
152,0.072938,0.081102,20.9804,0.8121,0.1198
153,0.073197,0.081433,20.9997,0.8121,0.1206
154,0.073673,0.080776,20.9945,0.8117,0.1222
155,0.072681,0.080062,20.9608,0.8131,0.1208
156,0.071098,0.082758,21.005,0.8127,0.1193
157,0.073281,0.08095,20.9922,0.8128,0.12
158,0.073255,0.082638,20.963,0.8128,0.1205
159,0.073484,0.080877,21.0005,0.8139,0.1202
160,0.073057,0.080463,21.0034,0.8125,0.1223
161,0.071505,0.079952,20.9823,0.8142,0.1212
162,0.071072,0.08071,20.9677,0.8125,0.1216
163,0.071963,0.07981,20.9585,0.8129,0.1218
164,0.071269,0.081311,20.9501,0.8129,0.1224
165,0.072975,0.079765,20.9879,0.8131,0.1235
166,0.072,0.078354,20.9789,0.8122,0.1233
167,0.07311,0.079643,20.9813,0.8116,0.1229
168,0.071692,0.080243,20.9601,0.8116,0.1239
169,0.071452,0.080202,20.9912,0.8129,0.1236
170,0.07299,0.078893,20.9728,0.8123,0.1234
171,0.073006,0.078,20.9596,0.8119,0.1241
172,0.073358,0.079836,20.9835,0.8099,0.1232
173,0.072961,0.078555,21.0012,0.8127,0.1212
174,0.07271,0.078,20.9844,0.8099,0.123
175,0.071998,0.079433,20.9745,0.8096,0.1243
176,0.072138,0.078,21.0217,0.8098,0.1229
177,0.071021,0.078,20.9703,0.8121,0.1246
178,0.072272,0.078,20.9992,0.8104,0.1235
179,0.072137,0.078,20.9907,0.8121,0.1222
180,0.071355,0.078,20.9931,0.8111,0.1235
181,0.073161,0.078,21.0408,0.8114,0.1225
182,0.071863,0.078,21.0302,0.8092,0.1237
183,0.071638,0.078574,21.0061,0.8119,0.1237
184,0.071188,0.078,21.0297,0.8114,0.1241
185,0.072092,0.078134,21.0337,0.8122,0.1238
186,0.071026,0.078,21.0344,0.8116,0.1218
187,0.070969,0.078,21.0138,0.8094,0.1234
188,0.072983,0.078,21.0618,0.812,0.1223
189,0.072527,0.078,21.059,0.8117,0.1225
190,0.070385,0.078346,21.0227,0.8125,0.1243
191,0.072198,0.078409,21.0759,0.8119,0.1225
192,0.072383,0.078,21.0536,0.8107,0.1235
193,0.072015,0.078,21.0743,0.8125,0.1214
194,0.070687,0.078,21.0814,0.8112,0.1241
195,0.070637,0.078,21.0811,0.8125,0.1218
196,0.071185,0.078,21.0917,0.8104,0.1224
197,0.07024,0.078425,21.0462,0.811,0.1229
198,0.072166,0.078745,21.0662,0.8121,0.1209
199,0.07117,0.078,21.0733,0.811,0.1236
200,0.070012,0.078,21.0732,0.813,0.1231
