epoch,train_loss,val_loss,psnr,ssim,lpips
83,0.082196,0.080174,20.2303,0.8012,0.1253
84,0.079027,0.0781,20.2326,0.804,0.1234
85,0.082301,0.081912,20.2162,0.8037,0.1242
86,0.081923,0.08343,20.1984,0.8048,0.1247
87,0.081021,0.083126,20.208,0.8067,0.1235
88,0.079854,0.082847,20.2622,0.8057,0.1252
89,0.081914,0.087992,20.2069,0.8091,0.1265
90,0.079978,0.08622,20.166,0.8097,0.1262
91,0.080081,0.085875,20.1329,0.8081,0.1263
92,0.077596,0.085154,20.1142,0.8103,0.1276
93,0.074079,0.080994,20.0726,0.8091,0.1297
94,0.074698,0.079499,20.1172,0.8107,0.128
95,0.076969,0.08046,20.0977,0.8081,0.1294
96,0.080689,0.079967,20.1515,0.8103,0.1303
97,0.078502,0.078,20.146,0.8091,0.1296
98,0.081965,0.078634,20.2272,0.8075,0.1271
99,0.077441,0.078,20.2311,0.8047,0.1246
100,0.078927,0.08002,20.2354,0.8063,0.1225
101,0.077053,0.078808,20.2866,0.8069,0.1212
102,0.075467,0.080814,20.309,0.8051,0.1225
103,0.071576,0.083274,20.3448,0.8073,0.1243
104,0.074115,0.083787,20.2614,0.8068,0.1241
105,0.074845,0.085009,20.3062,0.8115,0.1255
106,0.073977,0.088957,20.2335,0.8095,0.1244
107,0.071496,0.086752,20.2497,0.8116,0.1278
108,0.076327,0.082643,20.2342,0.815,0.1259
109,0.077704,0.086452,20.1668,0.8126,0.1269
110,0.077521,0.084874,20.1969,0.8159,0.1255
111,0.077562,0.08115,20.1748,0.816,0.128
112,0.076388,0.078,20.2937,0.8158,0.1245
113,0.074312,0.078,20.2723,0.8131,0.1251
114,0.075282,0.078,20.3592,0.8134,0.1234
115,0.073637,0.078,20.3722,0.8138,0.1196
116,0.073738,0.078,20.379,0.8105,0.1207
117,0.070948,0.079485,20.4434,0.8082,0.1209
118,0.071714,0.078,20.4342,0.809,0.119
119,0.07648,0.078,20.3925,0.8106,0.1193
120,0.078138,0.081466,20.3887,0.8074,0.123
121,0.074939,0.082413,20.3903,0.8112,0.1231
122,0.078774,0.08144,20.3944,0.809,0.1222
123,0.07901,0.08033,20.3386,0.8115,0.1244
124,0.0768,0.082763,20.28,0.8134,0.1237
125,0.074612,0.078,20.2398,0.8116,0.1248
126,0.076092,0.078,20.227,0.8138,0.1251
127,0.07611,0.07813,20.2303,0.8123,0.1218
128,0.071229,0.078,20.2085,0.8141,0.121
129,0.07538,0.078,20.3017,0.8118,0.1223
130,0.073266,0.078,20.3133,0.8124,0.1194
131,0.07256,0.078,20.3818,0.8114,0.1205
132,0.074869,0.078,20.3739,0.8084,0.119
133,0.076602,0.078,20.4342,0.8075,0.1206
134,0.077106,0.078208,20.3602,0.8083,0.1202
135,0.075743,0.080068,20.4429,0.8066,0.1222
136,0.075566,0.080857,20.4246,0.8058,0.1219
137,0.074296,0.078641,20.315,0.8053,0.1224
138,0.071467,0.082733,20.2955,0.8064,0.1266
139,0.071497,0.082767,20.3029,0.8102,0.1276
140,0.070247,0.084558,20.295,0.8091,0.1266
141,0.070281,0.086106,20.2539,0.8087,0.1245
142,0.07,0.084582,20.2058,0.8108,0.1234
143,0.072157,0.083388,20.2394,0.8127,0.1238
144,0.07,0.078052,20.1887,0.8127,0.1214
145,0.070962,0.082776,20.2506,0.8142,0.1233
146,0.076493,0.079857,20.2152,0.812,0.1216
147,0.073319,0.078926,20.3187,0.8123,0.1205
148,0.073422,0.078,20.2611,0.8125,0.1195
149,0.07242,0.079866,20.3166,0.8132,0.12
150,0.072716,0.080057,20.3621,0.8114,0.1211
151,0.07,0.081905,20.3568,0.8109,0.1252
152,0.07,0.080264,20.3566,0.8089,0.1235
153,0.070781,0.081977,20.3825,0.8087,0.1252
154,0.072792,0.081872,20.3546,0.8084,0.1274
155,0.072486,0.081435,20.2691,0.8107,0.1254
156,0.071156,0.086695,20.3254,0.8111,0.1227
157,0.076562,0.083493,20.2812,0.8123,0.1222
158,0.077264,0.086032,20.2148,0.8137,0.1213
159,0.077727,0.082003,20.2814,0.816,0.1193
160,0.076304,0.08004,20.2966,0.8158,0.1203
161,0.07235,0.078,20.2795,0.816,0.119
162,0.070394,0.078,20.2837,0.816,0.119
163,0.071173,0.078,20.3034,0.816,0.119
164,0.07,0.078,20.3258,0.816,0.119
165,0.073035,0.078,20.429,0.816,0.1212
166,0.072124,0.078,20.4386,0.8158,0.122
167,0.075459,0.078,20.4576,0.8141,0.1226
168,0.074081,0.078,20.4203,0.813,0.1247
169,0.074556,0.078,20.4657,0.8136,0.1248
170,0.077727,0.078,20.4091,0.8122,0.1245
171,0.077321,0.078,20.3543,0.8113,0.1248
172,0.076888,0.08114,20.3638,0.8087,0.1227
173,0.074649,0.079862,20.3632,0.8125,0.119
174,0.072629,0.079136,20.3049,0.8096,0.12
175,0.07006,0.082116,20.2686,0.81,0.1204
176,0.07,0.078,20.3479,0.8112,0.119
177,0.07,0.078,20.2577,0.8149,0.1197
178,0.07067,0.078,20.3245,0.8136,0.119
179,0.071502,0.078,20.3296,0.816,0.119
180,0.071177,0.078,20.3571,0.8151,0.1208
181,0.075379,0.078,20.4655,0.8153,0.1209
182,0.073222,0.078,20.4604,0.812,0.1238
183,0.072401,0.078,20.4205,0.8144,0.125
184,0.07058,0.078,20.4558,0.8128,0.1263
185,0.070961,0.079267,20.4423,0.8126,0.1262
186,0.07,0.078196,20.4115,0.8107,0.1235
187,0.07,0.081728,20.3333,0.8072,0.1246
188,0.070188,0.081823,20.3767,0.8097,0.1222
189,0.07,0.082729,20.3279,0.8091,0.1213
190,0.07,0.086624,20.2229,0.8102,0.1224
191,0.071853,0.087057,20.2915,0.8101,0.1193
192,0.073742,0.080678,20.2337,0.8094,0.1202
193,0.074263,0.083655,20.2675,0.8127,0.119
194,0.072394,0.079021,20.2885,0.8122,0.1218
195,0.072213,0.078,20.3053,0.8149,0.12
196,0.07254,0.078,20.3477,0.8132,0.122
197,0.07,0.080709,20.2881,0.8146,0.1239
198,0.07226,0.080153,20.3451,0.816,0.1226
199,0.07,0.078,20.3707,0.8148,0.1266
200,0.07,0.078,20.3729,0.816,0.1261
